"English","Malay","Indonesian"
"ketchup , URL: /wiki/Ketchup
","sos tomato","saus tomat"
"lane , URL: /wiki/Lane
","lorong (means alley in Indonesian)","lajur"
"lawyer","peguam","advokat from Dutch advocaat, pengacara (means 'master of ceremonies' in Malay)"
"Lebanon , URL: /wiki/Lebanon
","Lubnan from Arabic","Lebanon, Libanon influenced by Dutch"
"legislative , URL: /wiki/Legislative
","perundangan (In Indonesian, it means legislation), legislatif","legislatif"
"liability , URL: https://en.wiktionary.org/wiki/liability
","liabiliti","kewajiban"
"licence , URL: /wiki/Licence
","lesen, izin","izin, ijin from Arabic idhn, lisensi from Dutch licentie"
"lieutenant","leftenan (influenced by British English pronunciation)","letnan"
"lift, elevator","lif","lift"
"liquidity (economy)","kecairan","likuiditas"
"Lisbon","Lisbon","Lisboa from Portuguese, Lisabon influenced by Dutch Lissabon"
"list","senarai","daftar, senarai less common"
"local","tempatan","lokal, setempat"
"lorry , URL: /wiki/Lorry
","Lori","Truk (from American English: 'truck'), prahoto from Dutch vrachtauto"
"Luxembourg , URL: /wiki/Luxembourg
","Luxembourg","Luksemburg influenced by Dutch/German Luxemburg"
