"Aspect","Esperanto","Ido","Example"
"Alphabet","diacritics , URL: /wiki/Diacritics
digraph , URL: /wiki/Digraph
","digraphs , URL: /wiki/Digraph_(orthography)
","ĉambro / ŝuo / kvadrato (Esp.) chambro / shuo / quadrato (Ido) Translation: chamber / shoe / square (English)"
"Gender","masculine by default; feminine optional","gender-neutral by default; masculine and feminine optional","Gender of "elephant": elefanto (default [or masc.]) / elefantino (fem.) (Esp.) elefanto (default) / elefantulo (masc.) / elefantino (fem.) (Ido)"
"Antonyms","formed by mal- prefix","come from natural vocabulary","Translation of "warm" and "cold": varma / malvarma (Esp.) varma / kolda (Ido)"
"Infinitives","-i suffix","-ar suffix","Translation of "to go": iri (Esp.) irar (Ido)"
"Imperative","-u suffix","-ez suffix","Translation of "go!": iru! (Esp.) irez! (Ido)"
"Plural noun","agglutinative , URL: /wiki/Agglutinative
","-i suffix (synthetic)","Plural of domo ("house"): domoj (Esp.) domi (Ido)"
"Adjectives","Agree with nouns","Unchanged","Translation of "big dogs": grandaj hundoj (Esp.) granda hundi (Ido)"
"Accusative form (-n)","Mandatory","Only when object precedes subject","Translation of "I drink milk" / "I milk drink" / "Milk I drink": "mi trinkas lakton" / "mi lakton trinkas" / "lakton mi trinkas" (Esp.) "me drinkas lakto" / "me lakto drinkas" / "lakton me drinkas" (Ido)"
"Proper nouns","Sometimes rendered","Never rendered","Translation of "Europe": Eŭropo (Esp.) Europa (Ido)"
"No. of speakers","c. 100,000–2,000,000","c. 100–1,000","Google Translate , URL: /wiki/Google_Translate
"
