"Research Networking Tool","Thesaurus/Controlled Vocabulary Used","Ontology/Ontologies Supported","Automatic Author Disambiguation"
"Academic Room","unknown","unknown","No"
"AcademicLabs","Term suggestions and filters use a.o. MeSH and MAG","unknown","Yes"
"Activity Insight","Yes","Fully customizable data collection screens; campus, college and department-defined ontologies","Yes"
"C-IKNOW","Not applicable","Uses elements of FOAF and Dublin Core in RDF; uses Pellet reasoning engine","No (but can be done in conjunction with software developed at Northwestern University)"
"PROFILES by Mentis (formerly Collaborative Partnership / Profile System)","Yes","Dublin Core, Social Media and compatible with VIVO and other popular ontologies","Yes"
"Community Academic Profiles - CAP","MeSH","Unknown","Yes (partial)"
"Converis","In some fields","CASRAI , URL: /wiki/CASRAI
","Yes (Author clustering capabilities used to match authors with papers)"
"Curvita Profile Manager","Unknown","Unknown","No"
"CUSP - Columbia University Scientific Profiles","Unknown","Unknown","Yes"
"Digital Vita","Unknown","Unknown","No (but can be done manually by authors)"
"Elsevier's Pure (now integrated with SciVal Experts)","""Elsevier Fingerprinting Engine"" , URL: http://www.elsevier.com/online-tools/research-intelligence/products-and-services/elsevier-fingerprint-engine
","Maps to VIVO ontology","Yes"
"Elsevier's SciVal","""Elsevier Fingerprinting Engine"" , URL: http://www.elsevier.com/online-tools/research-intelligence/products-and-services/elsevier-fingerprint-engine
","Maps to VIVO ontology","Yes"
"Epernicus Solutions & Epernicus Network","Unknown","Unknown","No (can be done manually by authors)"
"ERIM Member Profile System (ERIM MIS)","Unknown","Unknown","Yes (uses author ID numbers)"
"Esploro","ProQuest thesaurus, ERA FOR, PQTD, and more, All thesauri are regularly updated.","Plans to implement the VIVO ontology","Yes"
"EUREKA! Enhancing Student Research","Unknown","Unknown","No"
"Expertise @ Maryland","Unknown","Unknown","Yes"
"Faculty Profile System","Unknown","Unknown","No"
"Faculty Research Information Profile (FRIP)","N/A","N/A","N/A"
"Faculty Scholarly Productivity Index","Unknown","Unknown","Unknown"
"GENIUS","Unknown","Unknown","No"
"Google , URL: /wiki/Google
","None (Google uses generic keywords)","Unknown","No (but can be done manually through Google Scholar ""My Citations"" functionality)"
"HUBzero","Unknown","Unknown","No"
"iamResearcher","Unknown","Unknown","No"
"iAMscientist","Unknown","Unknown","No"
"i2iConnect","Unknown","Unknown","No"
"InCites","In some fields","Unknown","No (Though InCites can accept data from ResearcherID and Converis profiling systems for disambiguation)"
"INDURE","Unknown","Unknown","N/A"
"LatticeGrid","MeSH","Uses elements of FOAF and other ontologies","No (but can be done manually by authors)"
"Lattes Database","Unknown","Unknown","Unknown"
"LinkedIn","None","Unknown","No"
"Life Science Network","Unknown","Unknown","No (but can be done manually)"
"Loki","Unknown","Unknown","Yes (uses campus directory for authentication)"
"Lyterati","Yes","Fully customizable ontology that maps to VIVO","Yes (using parsing algorithm on free text)"
"McCormick Collaboration Visualization Tool","None","Unknown","Yes"
"MizzouLinks","Unknown","Unknown","No"
"MyScienceWork","Unknown","Unknown","No"
"ORCID , URL: /wiki/ORCID
","Unknown","Unknown","Yes"
"OSU:pro","Unknown","Unknown","Unknown"
"Pivot","Unknown","Unknown","Yes"
"Portfolio & Showroom","Yes","ontology's vocabulary , URL: https://voc.uni-ak.ac.at/
","Yes (users can also differentiate manually)"
"Profiles","MeSH, others are being developed to go beyond the life and biomedical sciences","VIVO RDF ontology with additional Profiles RDF classes and properties","Yes Harvard Profiles uses an XML-based ""disambiguation service"" to import Medline publications and uses configurable heuristics in its disambiguation algorithm"
"ReachNC","Scopus taxonomy uses MeSH and general keywords","Maps to VIVO ontology","Yes"
"Research Accelerator","Unknown","Unknown","No"
"ResearcherID","Unknown","Unknown","No (although authors can build their publication list and manually disambiguate)"
"SciENcv","No thesaurus used","Unknown","No"
"Symplectic Elements","MeSH, Fields of Research, ScienceMetrix.","VIVO Harvester Extension , URL: https://web.archive.org/web/20180611003528/https://github.com/ieb/symplectic-harvester
Harvard Catalyst's Profiles RNS , URL: https://web.archive.org/web/20120101115517/http://profiles.catalyst.harvard.edu/
","Yes"
"VIVO","VIVO uses several thesauri that are available through Semantic Web, including MeSH","GitHub , URL: https://github.com/vivo-project
","Yes"
"Yaffle","Unknown","Unknown","Unknown"
