"English","Standard Malay","Indonesian"
"account , URL: https://en.wiktionary.org/wiki/account
","akaun","akun"
"accountability , URL: /wiki/Accountability
","akauntabliti","akuntabilitas"
"accountant , URL: /wiki/Accountant
","akauntan","akuntan"
"amateur , URL: https://en.wiktionary.org/wiki/amateur
","amatur","amatir"
"architect , URL: /wiki/Architect
","arkitek","arsitek"
"armed forces , URL: /wiki/Armed_forces
","tentera","tentara"
"auction , URL: /wiki/Auction
","lelong","lelang"
"autonomy , URL: /wiki/Autonomy
","autonomi","otonomi"
"balcony , URL: /wiki/Balcony
","balkoni","balkon"
"bell , URL: /wiki/Bell
","loceng","lonceng"
"because (grammatical conjunction)","kerana","karena"
"biome , URL: /wiki/Biome
","biom","bioma"
"bridge , URL: /wiki/Bridge
","jambatan","jembatan"
"broken, damaged","rosak","rusak"
"business , URL: /wiki/Business
","bisnes","bisnis"
"bus , URL: /wiki/Bus
","bas","bus"
"cancer , URL: /wiki/Cancer
","kanser","kanker"
"case (legal) , URL: /wiki/Legal_case
","kes","kasus"
"cement , URL: /wiki/Cement
","simen","semen"
"chancellor , URL: /wiki/Chancellor
","canselor","kanselir"
"civil","sivil","sipil"
"community","komuniti","komunitas"
"concert","konsert","konser"
"counter","kaunter","konter"
"December , URL: /wiki/December
","Disember","Desember"
"dialect , URL: /wiki/Dialect
","loghat","logat"
"diarrhea , URL: /wiki/Diarrhea
","diarea","diare"
"different , URL: https://en.wiktionary.org/wiki/different
","beza","beda"
"doctor , URL: /wiki/Doctor_(title)
","doktor","dokter"
"eight","lapan","delapan"
"Europe , URL: https://en.wiktionary.org/wiki/Europe
","Eropah","Eropa"
"export , URL: /wiki/Export
","eksport","ekspor"
"faculty","fakulti","fakultas"
"finance , URL: /wiki/Finance
","kewangan","keuangan"
"garage","garaj","garasi"
"gonorrhea , URL: /wiki/Gonorrhea
","gonorea","gonore"
"idea , URL: /wiki/Idea
","idea","ide"
"immigration , URL: https://en.wiktionary.org/wiki/immigration
","imigresen","imigrasi"
"mathematics , URL: /wiki/Mathematics
","matematik","matematika"
"magistrate , URL: /wiki/Magistrate
","majistret","magistrat"
"meaning","erti","arti"
"medication , URL: /wiki/Medication
","ubat","obat"
"minute , URL: /wiki/Minute
","minit","menit"
"money , URL: /wiki/Money
","wang","uang"
"music , URL: /wiki/Music
","muzik","musik"
"namely, e.g.","iaitu","yaitu"
"news , URL: /wiki/News
","khabar","kabar"
"newspaper , URL: /wiki/Newspaper
","surat khabar","surat kabar"
"number , URL: /wiki/Number
","nombor","nomor"
"official (adj.)","rasmi","resmi"
"official position","jawatan","jabatan"
"parliament , URL: /wiki/Parliament
","parlimen","parlemen"
"party , URL: /wiki/Party
","parti","partai"
"passport , URL: /wiki/Passport
","pasport","paspor"
"pencil , URL: /wiki/Pencil
","pensel","pensil"
"phase , URL: https://en.wiktionary.org/wiki/phase
","fasa","fase"
"physics , URL: /wiki/Physics
","fizik","fisika"
"plan","pelan","plan"
"popular , URL: https://en.wiktionary.org/wiki/popular
","popular","populer"
"prestige , URL: https://en.wiktionary.org/wiki/prestige
","prestij","prestise"
"prototype , URL: /wiki/Prototype
","prototaip","prototipe"
"punishment , URL: /wiki/Punishment
","seksa","siksa"
"sauce , URL: /wiki/Sauce
","sos","saus"
"sausage , URL: /wiki/Sausage
","sosej","sosis"
"scenario , URL: /wiki/Scenario
","senario","skenario"
"schedule , URL: https://en.wiktionary.org/wiki/schedule
","jadual","jadwal"
"scheme","skim","skema"
"secret , URL: /wiki/Secret
","rahsia","rahasia"
"snow , URL: /wiki/Snow
","salji","salju"
"sputum , URL: /wiki/Sputum
","kahak","dahak"
"station , URL: https://en.wiktionary.org/wiki/station
","stesen","stasiun"
"taxi","teksi","taksi"
"tempo , URL: /wiki/Tempo
","tempoh","tempo"
"thin","nipis","tipis"
"Thursday , URL: /wiki/Thursday
","Khamis","Kamis"
"truck, lorry","trak","truk"
"university , URL: /wiki/University
","universiti","universitas"
"want , URL: /wiki/Want
","mahu","mau"
"zone","zon","zona"
