"Name","SMP , URL: /wiki/Symmetric_multiprocessing
","Runs arbitrary OS","drivers , URL: /wiki/Device_driver
","Method of operation","Typical use","Speed relative to host OS","Commercial support available"
"Containers , URL: /wiki/Solaris_Zones
","Yes, over 500-way on current systems","No","Uses native device drivers","Operating system-level virtualization , URL: /wiki/Operating_system-level_virtualization
","Server consolidation with workload isolation, single workload containment, hosting, dev/test/prod","Near native","Yes"
"Hyper-V , URL: /wiki/Hyper-V
","Yes, up to 4 VCPUs per VM","Yes","Yes","Virtualization","Server consolidation, service continuity, dev/test, desktop virtualization, cloud computing","Up to near native[citation needed][3]","Yes"
"OpenVZ , URL: /wiki/OpenVZ
","Yes","No","Compatible","Operating system-level virtualization , URL: /wiki/Operating_system-level_virtualization
","Virtualized server isolation","Up to near native[citation needed][4]","Yes"
"KVM , URL: /wiki/Kernel-based_Virtual_Machine
","Yes[14]","Yes","Yes","AMD-V and Intel-VT-x , URL: /wiki/X86_virtualization
","Virtualized server isolation, server/desktop consolidation, software development, cloud computing, other purposes","Up to near native[citation needed][5]","Yes[15]"
"Linux-VServer , URL: /wiki/Linux-VServer
","Yes","No","Compatible","Operating system-level virtualization , URL: /wiki/Operating_system-level_virtualization
","Virtualized server isolation and security, server consolidation, cloud computing","Up to near native[citation needed][6]","Yes"
"Oracle VM Server for x86 , URL: /wiki/Oracle_VM_Server_for_x86
","Yes","Yes","Yes","Paravirtualization , URL: /wiki/Paravirtualization
","Server consolidation and security, enterprise and business deployment","Up to near native[citation needed]","Yes"
"Oracle VM Server for SPARC , URL: /wiki/Oracle_VM_Server_for_SPARC
","Yes","Yes, but needs porting[16]","Yes","Paravirtualization , URL: /wiki/Paravirtualization
","Server consolidation and security, enterprise and business deployment","Up to near native[citation needed]","Yes"
"OVPsim , URL: /wiki/OVPsim
","Yes","Yes","?","Full system simulation with optional component virtualization","Software development (early, embedded), advanced debug for single and multicore software, compiler and other tool development, computer architecture research, hobbyist","Depends on target architecture (full and slow hardware emulation for guests incompatible with host)[citation needed]","Yes, with commercial license from Imperas[17]"
"PikeOS , URL: /wiki/PikeOS
","Yes","paravirtualization , URL: /wiki/Paravirtualization
","Yes","Paravirtualization , URL: /wiki/Paravirtualization
","embedded systems , URL: /wiki/Embedded_system
","Up to near native[citation needed]","Yes"
"ScaleMP vSMP Foundation","Yes, up to 8,192 CPUs and 64 TB per VM[citation needed]","Yes","Yes","Virtualization , URL: /wiki/X86_virtualization
","Server consolidation, Cloud computing","?","Yes"
"Simics , URL: /wiki/Simics
","Yes","Yes","Yes","Full system simulation of processors, MMUs, devices, disks, memories, networks, etc.","Software development, advanced debug for single and multicore software, compiler and other tool development, computer architecture research, bug transportation, automated testing, system architecture, long-term support of safety-critical systems, early hardware availability, virtual prototyping","Depends on host machine and target architecture. Runs at near-native speeds for x86-on-x86 using VT-x, cross-simulation of other architectures can be faster or slower than real-time depending on how fast the target is and how big the target is (number of processors, number of target machines, and how much the simulation can be parallelized)","Yes"
"Sun xVM , URL: /wiki/Sun_xVM
","Yes","Yes","Yes","Paravirtualization , URL: /wiki/Paravirtualization
","Servers, Development","Up to near native[citation needed]","Yes"
"SVISTA , URL: /wiki/SVISTA
","No","?","?","?","Hobbyist, Developer, Business workstation","?","?"
"TRANGO , URL: /wiki/Trango_Virtual_Processors
","Yes","Yes[7]","Yes","Paravirtualization , URL: /wiki/Paravirtualization
porting , URL: /wiki/Porting
","Mob. phone, STB, routers, etc.","Near native[8][citation needed]","?"
"User Mode Linux , URL: /wiki/User_Mode_Linux
","?","No","special guest kernel+modules required","Porting , URL: /wiki/Porting
","Developer (as a separate machine for a server or with X11 networking)","Non-significantly slower than native [9] (all calls to kernel are proxied)[citation needed]","?"
"OKL4 Microvisor , URL: /wiki/Open_Kernel_Labs
","Yes","Yes, (either with para-virtualization or HW virtualization)","Yes","Paravirtualization , URL: /wiki/Paravirtualization
","Mobile, embedded, security, safety critical, networking, legacy OS, etc.","Near native","Yes"
"VirtualBox , URL: /wiki/VirtualBox
","Yes","Yes","Yes","Virtualization , URL: /wiki/X86_virtualization
","Business workstation, server consolidation, service continuity, developer, hobbyist","Up to near native[citation needed]","Yes (with commercial license)"
"Virtual Iron , URL: /wiki/Virtual_Iron
","Yes, up to 8 way","Yes","Yes","Native virtualization , URL: /wiki/X86_virtualization
","Server consolidation, service continuity, dev/test","?","Yes"
"Virtual PC , URL: /wiki/Microsoft_Virtual_PC
","No","Yes","Yes","Virtualization , URL: /wiki/X86_virtualization
","Hobbyist, Developer, Business workstation","Up to near native[citation needed] with virtual machine additions","?"
"Windows Virtual PC , URL: /wiki/Windows_Virtual_PC
","Yes[citation needed]","Yes","Yes","Hardware virtualization , URL: /wiki/X86_virtualization
","Developer, Business workstation, support for Compatibility with Windows XP applications","Up to near native[citation needed] with virtual machine additions","No"
"Virtual PC , URL: /wiki/Microsoft_Virtual_PC
","No","Yes","Yes","dynamic recompilation , URL: /wiki/Dynamic_recompilation
","Hobbyist, Developer, Business workstation","Slow[citation needed]","?"
"Virtual Server , URL: /wiki/Microsoft_Virtual_Server
","No","Yes","Yes","Virtualization , URL: /wiki/X86_virtualization
","Server, server farm","Up to near native with virtual machine additions but slower than with hypervisor due to proxied calls[citation needed]","?"
"CoWare , URL: /wiki/CoWare
Virtual Platform , URL: /wiki/Virtual_Platform
","Yes","Yes","Yes ( Same compiled Software image as for the real device)","Full-system virtualization (Processor Core ISA + Hardware + External connections)","Multi-core , URL: /wiki/Multi-core
","Depending on the system characteristics and the software itself, ranges from faster than real time to slow[citation needed].","Yes"
"Virtuozzo , URL: /wiki/Virtuozzo
","Yes","No","Compatible","Operating system-level virtualization , URL: /wiki/Operating_system-level_virtualization
","Server consolidation, service continuity, disaster recovery, service providers","Up to near native[citation needed]","Yes"
"VMware ESXi Server , URL: /wiki/VMware_ESXi_Server
","Yes, add-on, up to 64 way","No","Yes","Virtualization , URL: /wiki/X86_virtualization
","IaaS , URL: /wiki/IaaS
","Up to near native[citation needed]","Yes"
"VMware ESX Server , URL: /wiki/VMware_ESX_Server
","Yes, add-on, up to 8 way","Yes","Yes","Virtualization , URL: /wiki/X86_virtualization
","Server consolidation, service continuity, dev/test, cloud computing","Up to near native[citation needed]","Yes"
"VMware ESX Server , URL: /wiki/VMware_ESX_Server
","Yes, add-on, up to 4 way","Yes","Yes","Virtualization , URL: /wiki/X86_virtualization
","Server consolidation, service continuity, dev/test","Up to near native[citation needed]","Yes"
"VMware ESX Server 2.5.3","Yes, add-on, 2 way","Yes","Yes","Virtualization , URL: /wiki/X86_virtualization
","Server consolidation, service continuity, dev/test","Up to near native[citation needed]","Yes"
"VMware Fusion , URL: /wiki/VMware_Fusion
","Yes","Yes","Yes","Virtualization","Hobbyist, Developer, Tester, Business workstation","Up to near native[citation needed]","Yes"
"VMware Server , URL: /wiki/VMware_Server
","Yes (2-way)","Yes","Yes","Virtualization , URL: /wiki/X86_virtualization
","Server/desktop consolidation, dev/test","Up to near native[citation needed]","Yes"
"VMware Workstation , URL: /wiki/VMware_Workstation
","Yes (2-way)","Yes","Yes","Paravirtualization , URL: /wiki/Paravirtualization
VMI , URL: /w/index.php?title=Virtual_Machine_Interface&action=edit&redlink=1
virtualization , URL: /wiki/X86_virtualization
","Technical professional, advanced dev/test, trainer","Up to near native[citation needed]","Yes"
"VMware Player , URL: /wiki/VMware_Player
","Yes[18]","Yes","Yes","Virtualization , URL: /wiki/X86_virtualization
","Technical professional, advanced dev/test, trainer, end user on prebuilt machines","Up to near native[citation needed]","No"
"Xen , URL: /wiki/Xen
","Yes, v4.0.0: up to 128 VCPUs per VM","Yes","Yes","Paravirtualization , URL: /wiki/Paravirtualization
","Virtualized server isolation, server/desktop consolidation, software development, cloud computing, other purposes. Xen powers most public cloud services and many hosting services, such as Amazon Web Services, Rackspace Hosting and Linode.","Up to native[19]","Yes"
"XCP-ng","Yes","Yes","Yes","Paravirtualization , URL: /wiki/Paravirtualization
","Virtualized server isolation, server/desktop consolidation, software development, cloud computing, desktop virtualization, public cloud services, hostings services and other purposes.","Up to native[citation needed]","Yes"
"XenServer , URL: /wiki/XenServer
","Yes","Yes","Yes","Paravirtualization , URL: /wiki/Paravirtualization
","Virtualized server isolation, server/desktop consolidation, software development, cloud computing, other purposes. Xen powers most public cloud services and many hosting services, such as Amazon Web Services, Rackspace Hosting and Linode.","Up to native[19]","Yes"
"XtratuM , URL: /wiki/XtratuM
","Yes","No","Yes","Paravirtualization , URL: /wiki/Paravirtualization
","Embedded, safety critical, secure","Near to native[citation needed]","Yes"
