"v t e Politics of outer space","v t e Politics of outer space","v t e Politics of outer space"
"Spacefaring nations Space policy Space traffic management Space debris management Space Debris Working Group Space Debris Committee Planetary protection principle Post-detection policy Asteroid impact Prediction Avoidance Spaceguard The Spaceguard Foundation","Spacefaring nations Space policy Space traffic management Space debris management Space Debris Working Group Space Debris Committee Planetary protection principle Post-detection policy Asteroid impact Prediction Avoidance Spaceguard The Spaceguard Foundation","Spacefaring nations Space policy Space traffic management Space debris management Space Debris Working Group Space Debris Committee Planetary protection principle Post-detection policy Asteroid impact Prediction Avoidance Spaceguard The Spaceguard Foundation"
"Space races , URL: /wiki/List_of_space_races
","Cold War space race Sputnik crisis Timeline Asian space race Billionaire space race Mars race Records Space propaganda Space competition","Cold War space race Sputnik crisis Timeline Asian space race Billionaire space race Mars race Records Space propaganda Space competition"
"Chinese space program , URL: /wiki/Chinese_space_program
","Two Bombs, One Satellite doctrine (1966–1976) Shuguang program (1966–1972) Chinese ASAT program (1964–) 2007 test Project 921 (1992–) Shenzhou program Tiangong program Space station Chinese Lunar Exploration Program (2003–) Mars and beyond Planetary Exploration of China (2016–) MARS-500 study","Two Bombs, One Satellite doctrine (1966–1976) Shuguang program (1966–1972) Chinese ASAT program (1964–) 2007 test Project 921 (1992–) Shenzhou program Tiangong program Space station Chinese Lunar Exploration Program (2003–) Mars and beyond Planetary Exploration of China (2016–) MARS-500 study"
"ESA Science Programme , URL: /wiki/European_Space_Agency_Science_Programme
","Horizon 2000 (1985-1995)","SOHO Cassini–Huygens Huygens Cluster Cluster II XMM-Newton Rosetta INTEGRAL Herschel Planck"
"ESA Science Programme , URL: /wiki/European_Space_Agency_Science_Programme
","Horizon 2000 Plus (1995-2015)","ISS programme Politics Gaia LISA Pathfinder BepiColombo"
"ESA Science Programme , URL: /wiki/European_Space_Agency_Science_Programme
","Cosmic Vision , URL: /wiki/Cosmic_Vision
","Solar Orbiter Euclid ARIEL EnVision CHEOPS JUICE ATHENA LISA Comet Interceptor SMILE"
"EU Space Programme , URL: /wiki/European_Union_Space_Programme
","Western European Union Satellite Centre (1992-2002) EU Satellite Centre (2002-) EU/ESA Space Council EU Commission DG Defence Industry and Space European GNSS Agency (2004-2021) EU Agency for the Space Programme (2021-) Galileo programme Copernicus programme EGNOS programme EUSST programme Body of European Regulators for Electronic Communications European Union Aviation Safety Agency European Network of Civil Aviation Safety Investigation Authorities European Defence Agency Europe by Satellite","Western European Union Satellite Centre (1992-2002) EU Satellite Centre (2002-) EU/ESA Space Council EU Commission DG Defence Industry and Space European GNSS Agency (2004-2021) EU Agency for the Space Programme (2021-) Galileo programme Copernicus programme EGNOS programme EUSST programme Body of European Regulators for Electronic Communications European Union Aviation Safety Agency European Network of Civil Aviation Safety Investigation Authorities European Defence Agency Europe by Satellite"
"Other European initiatives and bodies","AeroSpace and Defence Industries Association of Europe Eurospace Eurocontrol Council of Europe Council of European Aerospace Societies European Broadcasting Union European Civil Aviation Conference European Committee for Standardization/European Committee for Electrotechnical Standardization European Conference of Postal and Telecommunications Administrations European Telecommunications Standards Institute European Organisation for Civil Aviation Equipment European Organisation for the Exploitation of Meteorological Satellites European Patent Organisation European Patent Office European Telecommunications Satellite Organization European Southern Observatory Organization for Security and Co-operation in Europe","AeroSpace and Defence Industries Association of Europe Eurospace Eurocontrol Council of Europe Council of European Aerospace Societies European Broadcasting Union European Civil Aviation Conference European Committee for Standardization/European Committee for Electrotechnical Standardization European Conference of Postal and Telecommunications Administrations European Telecommunications Standards Institute European Organisation for Civil Aviation Equipment European Organisation for the Exploitation of Meteorological Satellites European Patent Organisation European Patent Office European Telecommunications Satellite Organization European Southern Observatory Organization for Security and Co-operation in Europe"
"Indian space policy","Department of Space Indian Human Spaceflight Programme Space Activities Bill Indian ASAT programme Mission Shakti","Department of Space Indian Human Spaceflight Programme Space Activities Bill Indian ASAT programme Mission Shakti"
"British space programme , URL: /wiki/British_space_programme
","Creation of the British National Committee for Space Research (1958) Start of the Ariel programme (1962) Black Arrow launcher (1964-1971) Creation of the British National Space Centre (1985) Outer Space Act 1986 Project Juno (1991) Space Innovation and Growth Team (2009–2010) Creation of the UK Space Agency (2010) Strategic Defence and Security Review 2015 Space Industry Act 2018 UK Global Navigation Satellite System (2018–2020) 2021 Integrated Review Defence in a Competitive Age","Creation of the British National Committee for Space Research (1958) Start of the Ariel programme (1962) Black Arrow launcher (1964-1971) Creation of the British National Space Centre (1985) Outer Space Act 1986 Project Juno (1991) Space Innovation and Growth Team (2009–2010) Creation of the UK Space Agency (2010) Strategic Defence and Security Review 2015 Space Industry Act 2018 UK Global Navigation Satellite System (2018–2020) 2021 Integrated Review Defence in a Competitive Age"
