"","English","Esperanto","Novial"
"Infinitive , URL: /wiki/Infinitive
","(to) be absorbed","est-i absorb-at-a(j)","es absorba-t"
"present , URL: /wiki/Present_tense
","is (am, are) absorbed","est-as absorb-at-a(j)","es absorba-t"
"Future , URL: /wiki/Future_tense
","will (shall) be absorbed","est-os absorb-at-a(j)","sal es absorba-t"
"past , URL: /wiki/Past_tense
","was absorbed","est-is absorb-at-a(j)","did es (es-ed) absorba-t"
"perfect , URL: /wiki/Perfect_(grammar)
","have (has) been absorbed","est-as absorb-it-a(j)","ha es absorba-t"
"Pluperfect , URL: /wiki/Pluperfect
","had been absorbed","est-is absorb-it-a(j)","ha-d es absorba-t"
"Future , URL: /wiki/Future_tense
perfect , URL: /wiki/Perfect_(grammar)
","will (shall) have been absorbed","est-os absorb-it-a(j)","sal ha es absorba-t"
"Future , URL: /wiki/Future_tense
","was going to (would, should) be absorbed","est-is absorb-ot-a(j)","sal-ed es absorba-t"
"Conditional , URL: /wiki/Conditional_mood
","would (should) be absorbed","est-us absorb-at-a(j)","vud es absorba-t"
"Conditional , URL: /wiki/Conditional_mood
perfect , URL: /wiki/Perfect_(grammar)
","would (should) have been absorbed","est-us absorb-it-a(j)","vud ha es absorba-t"
"imperative , URL: /wiki/Imperative_mood#Imperative_mood
","let us be absorbed!","ni est-u absorb-ataj!","let nus es absorba-t!"
"imperative , URL: /wiki/Imperative_mood#Imperative_mood
","be absorbed!","est-u absorb-at-a(j)!","es absorba-t!"
"imperative , URL: /wiki/Imperative_mood#Imperative_mood
","let him be absorbed!","li est-u absorb-at-a!","let lo es absorba-t!"
